iter	Passed	Remaining
257	402	1157
258	403	1153
259	403	1149
260	404	1145
261	405	1142
262	406	1138
263	407	1135
264	408	1131
265	408	1128
266	409	1124
267	410	1121
268	411	1118
269	412	1114
270	413	1111
271	413	1108
272	415	1105
273	415	1102
274	416	1098
275	417	1095
276	418	1091
277	419	1088
278	419	1085
279	420	1081
280	421	1079
281	422	1076
282	423	1073
283	424	1070
284	425	1066
285	426	1063
286	426	1060
287	427	1057
288	428	1054
289	429	1052
290	430	1049
291	431	1046
292	432	1043
293	433	1040
294	433	1036
295	434	1033
296	435	1031
297	436	1028
298	437	1026
299	438	1023
300	439	1020
301	440	1017
302	441	1014
303	442	1011
304	443	1009
305	444	1007
306	444	1004
307	445	1001
308	446	998
309	447	995
310	448	992
311	448	989
312	449	987
313	451	985
314	452	982
315	453	980
316	454	978
317	454	975
318	455	973
319	456	971
320	458	969
321	459	967
322	460	964
323	461	962
324	462	959
325	462	956
326	463	954
327	464	952
328	465	950
329	466	947
330	467	945
331	468	943
332	469	941
333	470	938
334	472	937
335	473	935
336	474	933
337	475	931
338	476	928
339	477	926
340	478	923
341	479	923
342	481	921
343	482	919
344	483	917
345	484	915
346	485	913
347	486	911
348	487	910
349	488	907
350	489	905
351	490	902
352	491	900
353	492	897
354	493	896
355	494	894
356	495	891
357	496	889
358	496	887
359	497	884
360	498	882
361	499	879
362	500	877
363	501	875
364	502	873
365	503	871
366	504	869
367	505	867
368	506	865
369	506	863
370	508	861
371	509	859
372	509	857
373	510	855
374	511	852
375	512	850
376	513	848
377	514	846
378	515	844
379	516	842
380	517	841
381	518	838
382	519	836
383	520	835
384	521	833
385	522	831
386	523	829
387	524	827
388	525	825
389	526	823
390	527	821
391	528	819
392	529	818
393	530	816
394	531	814
395	532	812
396	533	809
397	534	808
398	535	805
399	536	804
400	537	802
401	538	800
402	539	799
403	540	796
404	541	794
405	541	792
406	542	790
407	543	789
408	544	787
409	545	785
410	546	783
411	547	781
412	548	779
413	549	777
414	550	775
415	551	774
416	552	772
417	553	770
418	554	768
419	554	766
420	555	764
421	556	762
422	558	761
423	558	759
424	560	757
425	561	756
426	562	754
427	562	752
428	563	750
429	565	748
430	566	747
431	566	745
432	567	743
433	568	741
434	569	740
435	570	738
436	571	736
437	572	734
438	573	733
439	574	731
440	575	729
441	576	727
442	577	725
443	578	724
444	579	722
445	580	721
446	581	719
447	582	717
448	583	716
449	584	714
450	585	712
451	586	711
452	587	709
453	588	707
454	589	706
455	590	704
456	591	702
457	592	700
458	593	699
459	594	698
460	595	696
461	596	694
462	597	693
463	598	691
464	599	689
465	600	688
466	601	686
467	602	684
468	603	683
469	604	681
470	605	679
471	606	677
472	607	676
473	608	674
474	609	673
475	609	671
476	610	669
477	611	667
478	612	666
479	613	664
